Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10449.3	1261.5	26.86	19.53
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9052.9	1176.8	24.92	19.49
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9187.6	1792.7	22.92	18.35
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8652.9	1033.4	24.63	22.7
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9224.9	749.91	102.27	36.66
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9163.5	963.49	73.3	31.06
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9352.7	2364.6	32.43	21.9
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9706.5	1692.9	81.06	32.34
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9982.3	1005.9	46.35	24.4
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8807.2	728.97	55.45	26.7
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9287.3	1111.3	56.03	27.46
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8611.6	809.36	21.27	17.04
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8966.2	1285.7	20.83	16.82
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9707.2	820.39	80.18	32.12
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9884.3	1388.5	24.28	18.33
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9586.4	1456.1	36.86	22.01
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9713.4	689.13	42.09	24.4
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10313	2277.9	116.16	38.68
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10485.7	1417.1	26.24	19.22
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9541.4	2610.5	28.45	19.83
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10315.7	1653.3	49.52	25.67
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8792.9	1221	20	16.67
